Statement,Correct,n,SlowKey.corr_mean,SlowKey.corr_raw,SlowKey.corr_std,SlowKey.keys_raw,SlowKey.rt_mean,SlowKey.rt_raw,SlowKey.rt_std,SlowKey.started_mean,SlowKey.started_raw,SlowKey.started_std,SlowKey.stopped_raw,SlowText.started_mean,SlowText.started_raw,SlowText.started_std,SlowText.stopped_raw,encouragekey.keys_raw,encouragekey.rt_mean,encouragekey.rt_raw,encouragekey.rt_std,encouragekey.started_raw,encouragekey.stopped_raw,encouragetext.started_raw,encouragetext.stopped_raw,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,polygon.started_mean,polygon.started_raw,polygon.started_std,polygon.stopped_mean,polygon.stopped_raw,polygon.stopped_std,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
An inch has an end,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
An inch is endless,j,1.0,1.0,1.0,0.0,'j',1.9963231086730957,1.9963231086730957,0.0,153.62509155273438,153.62509155273438,0.0,,153.12596130371094,153.12596130371094,0.0,,,,,,155.64205324978684,,155.64205324978684,,'space',0.10306976735591888,0.10306976735591888,0.0,155.6423797607422,155.6423797607422,0.0,,152.64260864257812,152.64260864257812,0.0,153.0419921875,153.0419921875,0.0,155.6423797607422,155.6423797607422,0.0,,37.0
An inch cannot go on forever,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
An inch can go on forever,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
An inch cannot be further divided,j,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
An inch can be further divided,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Intervals of time can be finite,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Intervals of time can be infinite,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Intervals of time can have an end,f,1.0,1.0,1.0,0.0,'f',3.2152156829833984,3.2152156829833984,0.0,119.28939056396484,119.28939056396484,0.0,,118.79022979736328,118.79022979736328,0.0,,,,,,122.52268069778802,,122.52268069778802,,'space',0.13292092084884644,0.13292092084884644,0.0,122.52267456054688,122.52267456054688,0.0,,118.29048156738281,118.29048156738281,0.0,118.690185546875,118.690185546875,0.0,122.52267456054688,122.52267456054688,0.0,,21.0
Intervals of time can be endless,f,1.0,1.0,1.0,0.0,'f',0.7561455368995667,0.7561455368995667,0.0,173.69415283203125,173.69415283203125,0.0,,173.19419860839844,173.19419860839844,0.0,,,,,,174.47643276379677,,174.47643276379677,,'space',0.2176804542541504,0.2176804542541504,0.0,174.4774169921875,174.4774169921875,0.0,,172.7103271484375,172.7103271484375,0.0,173.110107421875,173.110107421875,0.0,174.4774169921875,174.4774169921875,0.0,,46.0
Intervals of time cannot go on forever,f,1.0,0.0,0.0,0.0,'j',5.359855651855469,5.359855651855469,0.0,85.77185821533203,85.77185821533203,0.0,,85.271484375,85.271484375,0.0,,,,,,91.1541796188103,,91.1541796188103,,'space',0.6359638571739197,0.6359638571739197,0.0,91.1553955078125,91.1553955078125,0.0,,84.78826904296875,84.78826904296875,0.0,85.18797302246094,85.18797302246094,0.0,91.1553955078125,91.1553955078125,0.0,,10.0
Intervals of time can go on forever,f,1.0,1.0,1.0,0.0,'f',0.7220860123634338,0.7220860123634338,0.0,164.9257049560547,164.9257049560547,0.0,,164.4271240234375,164.4271240234375,0.0,,,,,,165.6756880597968,,165.6756880597968,,'space',0.10749433189630508,0.10749433189630508,0.0,165.67630004882812,165.67630004882812,0.0,,163.94256591796875,163.94256591796875,0.0,164.34365844726562,164.34365844726562,0.0,165.67630004882812,165.67630004882812,0.0,,41.0
Intervals of time cannot be further divided,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Intervals of time can be further divided,f,1.0,1.0,1.0,0.0,'f',3.984187602996826,3.984187602996826,0.0,238.7141571044922,238.7141571044922,0.0,,238.21400451660156,238.21400451660156,0.0,,,,,,242.71548984778929,,242.71548984778929,,'space',0.11936632543802261,0.11936632543802261,0.0,242.71546936035156,242.71546936035156,0.0,,237.7473907470703,237.7473907470703,0.0,238.14712524414062,238.14712524414062,0.0,242.71546936035156,242.71546936035156,0.0,,71.0
Spatial intervals can be finite,f,1.0,1.0,1.0,0.0,'f',1.09957754611969,1.09957754611969,0.0,109.57181549072266,109.57181549072266,0.0,,109.07276153564453,109.07276153564453,0.0,,,,,,110.68840842379723,,110.68840842379723,,'space',0.16019998490810394,0.16019998490810394,0.0,110.68888092041016,110.68888092041016,0.0,,108.5890121459961,108.5890121459961,0.0,108.98995208740234,108.98995208740234,0.0,110.68888092041016,110.68888092041016,0.0,,18.0
Spatial intervals can be infinite,f,1.0,1.0,1.0,0.0,'f',1.4612479209899902,1.4612479209899902,0.0,258.06561279296875,258.06561279296875,0.0,,257.5666809082031,257.5666809082031,0.0,,,,,,259.54976963679655,,259.54976963679655,,'space',0.13308683037757874,0.13308683037757874,0.0,259.5500183105469,259.5500183105469,0.0,,257.08270263671875,257.08270263671875,0.0,257.48333740234375,257.48333740234375,0.0,259.5500183105469,259.5500183105469,0.0,,75.0
Spatial intervals  can have an end,f,1.0,1.0,1.0,0.0,'f',1.9794095754623413,1.9794095754623413,0.0,131.12338256835938,131.12338256835938,0.0,,130.62319946289062,130.62319946289062,0.0,,,,,,133.1230341407936,,133.1230341407936,,'space',0.15734392404556274,0.15734392404556274,0.0,133.12327575683594,133.12327575683594,0.0,,130.14022827148438,130.14022827148438,0.0,130.54025268554688,130.54025268554688,0.0,133.12327575683594,133.12327575683594,0.0,,26.0
Spatial intervals can be endless,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Spatial intervals cannot go on forever,f,0.0,,,,'--',,,,,,,'--',,,,'--','--',,,,'--','--','--','--','--',,,,,,,'--',,,,,,,,,,'--',
Spatial intervals can go on forever,f,1.0,1.0,1.0,0.0,'f',2.2777469158172607,2.2777469158172607,0.0,111.8722152709961,111.8722152709961,0.0,,111.37197875976562,111.37197875976562,0.0,,,,,,114.17209451680537,,114.17209451680537,,'space',0.16544945538043976,0.16544945538043976,0.0,114.1725845336914,114.1725845336914,0.0,,110.88924407958984,110.88924407958984,0.0,111.28874969482422,111.28874969482422,0.0,114.1725845336914,114.1725845336914,0.0,,19.0
Spatial intervals cannot be further divided,f,1.0,0.0,0.0,0.0,'j',5.800256729125977,5.800256729125977,0.0,195.54522705078125,195.54522705078125,0.0,,195.04562377929688,195.04562377929688,0.0,,,,,,201.37871925378568,,201.37871925378568,,'space',0.05484994128346443,0.05484994128346443,0.0,201.37857055664062,201.37857055664062,0.0,,194.5784454345703,194.5784454345703,0.0,194.9781036376953,194.9781036376953,0.0,201.37857055664062,201.37857055664062,0.0,,55.0
